"","SRR1408848","SRR1408849","SRR1408850","SRR1408851","SRR1408852","SRR1408853","SRR1408854","SRR1408855"
"Slc25a28",130,144,41,55,134,145,32,25
"Slc25a29",51,80,25,10,65,35,17,12
"Slc25a3",4062,3387,5065,4318,3209,3992,4834,3516
"Slc25a30",30,21,18,36,33,18,27,30
"Slc25a32",271,241,396,301,227,221,228,319
"Slc25a33",302,346,374,249,249,235,363,224
"Slc25a34",45,35,22,35,42,38,19,5
"Slc25a35",31,31,38,20,32,37,36,20
"Slc25a36",395,412,758,448,439,531,534,522
"Slc25a37",244,141,182,98,158,180,147,165
"Slc25a38",105,99,41,33,140,156,98,43
"Slc25a39",216,272,81,82,222,278,96,48
"Slc25a4",6973,6191,6118,4203,5279,7359,5257,4270
"Slc25a40",114,70,106,135,32,69,64,76
"Slc25a41",1,0,0,0,0,0,0,0
"Slc25a42",154,149,72,48,134,163,59,49
"Slc25a43",0,0,5,0,0,0,9,1
"Slc25a44",1164,1314,1247,998,1221,1336,1245,981
"Slc25a45",13,13,8,15,0,25,4,8
"Slc25a46",1287,1422,2166,1445,1327,1105,1593,1713
"Slc25a47",11,8,1,3,0,5,0,3
"Slc25a5",566,404,555,436,377,633,556,335
"Slc25a51",732,762,630,616,794,690,910,593
"Slc25a53",107,77,141,75,145,115,103,82
"Slc25a54",0,0,0,2,0,0,0,0
"Slc26a1",14,20,23,15,6,15,1,13
"Slc26a10",48,47,35,21,22,34,9,20
"Slc26a11",21,47,11,27,29,23,8,17
"Slc26a2",23,27,62,24,41,43,23,29
"Slc26a4",36,80,43,106,82,85,96,63
"Slc26a5",0,0,0,0,2,0,0,7
"Slc26a6",42,40,19,6,16,37,24,24
"Slc26a7",4,0,50,4,10,0,17,15
"Slc26a8",57,66,44,72,50,54,23,56
"Slc26a9",0,0,3,0,0,0,11,2
"Slc27a1",308,217,184,99,227,250,128,100
"Slc27a2",41,55,57,25,33,83,28,34
"Slc27a3",11,27,3,2,16,12,9,3
"Slc27a4",761,784,285,276,853,883,428,217
"Slc27a5",0,5,0,0,0,0,0,0
"Slc27a6",11,5,11,3,0,4,2,3
"Slc28a1",3,0,0,0,6,0,0,0
"Slc28a2",1,0,0,0,0,3,0,0
"Slc29a1",41,88,47,23,36,64,29,10
"Slc29a2",77,92,40,25,65,72,53,22
"Slc29a3",90,109,162,133,59,113,91,86
"Slc29a4",21,45,26,20,37,18,24,17
"Slc2a1",876,633,693,420,761,1214,392,495
"Slc2a10",13,4,15,22,2,12,12,17
"Slc2a12",12,53,106,65,5,38,38,37
"Slc2a13",2027,2171,2734,2482,1876,2406,2813,2557
"Slc2a2",0,0,1,0,0,0,0,0
"Slc2a3",2292,2571,2038,2184,2497,2951,3074,2087
"Slc2a4",5,4,12,10,4,23,2,1
"Slc2a4rg-ps",2,11,0,0,2,0,0,1
"Slc2a5",73,62,49,85,18,46,31,14
"Slc2a6",63,60,21,28,85,85,22,16
"Slc2a8",78,55,19,24,59,87,15,9
"Slc2a9",7,5,20,2,0,15,5,13
"Slc30a1",669,620,1167,798,556,804,669,732
"Slc30a10",310,289,351,399,277,287,264,323
"Slc30a2",89,110,95,80,76,44,96,88
"Slc30a3",669,430,185,139,443,743,129,100
"Slc30a4",1249,1144,2074,1381,906,1342,1395,1532
"Slc30a5",651,569,805,640,465,642,663,639
"Slc30a6",123,105,166,87,119,130,95,111
"Slc30a7",179,197,338,242,219,220,283,280
"Slc30a8",0,0,0,0,0,0,3,0
"Slc30a9",1957,2008,2754,2787,1556,1965,2790,2650
"Slc31a1",329,284,414,299,224,246,236,288
"Slc31a2",84,52,70,63,59,73,35,40
"Slc32a1",287,325,86,120,313,334,122,81
"Slc33a1",268,279,477,448,357,330,412,364
"Slc34a1",0,0,0,0,4,0,0,0
"Slc35a1",234,142,339,252,125,193,247,226
"Slc35a2",188,191,151,188,222,244,159,130
"Slc35a3",203,206,370,279,137,229,247,275
"Slc35a4",243,208,244,176,206,283,255,129
"Slc35a5",493,517,789,802,470,628,773,681
"Slc35b1",530,490,385,314,413,458,433,303
"Slc35b2",154,102,101,111,193,221,75,50
"Slc35b3",104,104,87,129,67,111,72,80
"Slc35b4",995,905,1117,1019,892,1111,1302,892
"Slc35c1",187,192,200,66,165,161,73,76
"Slc35c2",240,259,157,103,297,371,179,102
"Slc35d1",182,93,159,117,64,176,68,98
"Slc35d2",8,6,6,0,1,0,0,0
"Slc35d3",14,8,7,9,1,13,2,20
"Slc35e1",1077,900,1048,971,862,902,939,922
"Slc35e2",531,422,413,258,389,397,343,533
"Slc35e3",138,125,157,164,97,120,235,128
"Slc35e4",98,103,25,11,95,86,42,23
"Slc35f1",1368,1906,1557,1845,1766,1423,3111,2037
"Slc35f2",36,81,83,39,54,40,71,34
