"","SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"Usp17lb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Usp17lc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Usp17ld",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Usp17le",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Usp18",0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Usp19",330,34,168,363,21,604,184,443,5,275,1091,1681,649,1246,742,546,5,287,1816,167,114,831,576,109,157,431,157,0,202,113,129,1024,177,129,151,249,374,997
"Usp2",1331,231,2502,145,1021,1895,93,1021,2217,1598,3187,861,2721,3567,1572,2340,1033,424,1950,2261,8,1578,1770,1226,455,2487,96,260,944,531,1436,2277,255,680,447,232,727,1697
"Usp20",0,3,306,8,539,703,0,817,673,781,2332,0,639,571,783,701,37,211,317,845,717,699,1128,6,0,840,0,44,106,4,512,1,8,905,190,289,0,425
"Usp21",378,30,454,351,23,497,1096,286,1016,1963,791,187,424,877,371,625,2,174,879,1031,385,653,398,738,4,1411,1,1,599,917,270,45,115,367,106,185,0,518
"Usp22",562,199,1967,404,1,677,890,219,2817,2300,6146,1334,2358,2980,1574,2327,795,994,2871,6947,228,3636,2768,3998,234,5997,46,2989,94,48,242,5460,84,1170,1331,1117,26,4182
"Usp24",506,138,651,175,158,160,0,1471,240,147,15,0,965,1134,381,283,2,400,143,10,556,186,622,364,31,0,5,4,71,10,24,0,3,24,270,0,62,280
"Usp25",36,16,399,12,34,51,10,1072,577,25,545,0,129,8,748,2,7,14,143,0,12,264,602,1596,18,0,87,40,30,0,40,4,46,37,2,4,1,39
