"PRJNA252803__1","PRJNA252803__2","PRJNA529794__1","PRJNA529794__2","PRJNA252803_fc","PRJNA529794_fc","group_num"
13.06,13.72,3.51928571428571,3.8925,1.05,1.11,"group_10124"
24.4075,21.755,4.62214285714286,4.9325,-1.12,1.07,"group_10125"
48.02,42.4825,0.257857142857143,2.09708333333333,-1.13,8.13,"group_10127"
17.2375,16.775,3.285,4.73,-1.03,1.44,"group_10128"
11.2775,16.615,4.53571428571429,7.60708333333333,1.47,1.68,"group_10129"
25.0825,28.2675,6.49357142857143,15.6145833333333,1.13,2.4,"group_1013"
152.7775,132.9225,19.5921428571429,21.7895833333333,-1.15,1.11,"group_10131"
8.27,13.7275,1.09,2.30916666666667,1.66,2.12,"group_10132"
7.5775,11.07,1.52642857142857,3.80166666666667,1.46,2.49,"group_10133"
14.9975,17.035,4.975,2.14125,1.14,-2.32,"group_10134"
119.12,119.0075,56.4614285714286,66.74125,-1,1.18,"group_10135"
36.1675,42.9825,0.183928571428571,0.309166666666667,1.19,1.68,"group_10136"
15.2325,14.54,0.620714285714286,0.762083333333333,-1.05,1.23,"group_10137"
40.1125,34.8475,15.2114285714286,24.6504166666667,-1.15,1.62,"group_10138"
8.6325,7.9325,7.86714285714286,9.41875,-1.09,1.2,"group_10139"
47.76,55.7675,0.344285714285714,1.25604166666667,1.17,3.65,"group_1014"
25.735,31.945,20.8635714285714,28.5275,1.24,1.37,"group_10140"
34.3225,33.7975,12.485,17.4004166666667,-1.02,1.39,"group_10141"
12.83,17.6,2.24928571428571,4.90875,1.37,2.18,"group_10142"
11.445,11.545,0.586428571428571,0.756875,1.01,1.29,"group_10143"
17.0075,22.37,1.47214285714286,1.90833333333333,1.32,1.3,"group_10144"
9.53,12.5475,3.68178571428571,7.13708333333333,1.32,1.94,"group_10145"
9.37,10.5225,0.135,1.44895833333333,1.12,10.73,"group_10149"
12.6883333333333,16.0483333333333,6.1475,5.943125,1.26,-1.03,"group_1015"
48.535,42.365,3.34142857142857,4.59541666666667,-1.15,1.38,"group_10150"
