,logFC,logCPM,LR,PValue,FDR
6135,3.53577524030534,5.33191184910079,14.0494144753378,0.000178069265022308,0.0249829101202511
11680,2.62497983274294,7.24320801743652,14.0155987948362,0.000181300335706793,0.0249829101202511
15352,3.7500537495499,5.21719512979515,14.0136055724675,0.000181492619753965,0.0249829101202511
2413,3.33990177038238,5.79752525335181,13.9970312467199,0.000183099504138648,0.0249829101202511
3427,2.42726741408738,6.19126006739133,13.8807067476508,0.000194787807769313,0.025965060797764
1263,3.56303996497244,5.4425584990933,13.8561887650712,0.000197345738962376,0.025965060797764
19211,-3.37951570214751,5.37335552421734,13.7546327399316,0.000208306441437435,0.026586790076264
3295,3.05059218677839,6.58737308205402,13.7458024947676,0.000209287978341926,0.026586790076264
6936,3.74969486032231,5.32639650381585,13.6612600086765,0.000218924546556461,0.0267909093763299
14629,-2.69754138723239,7.29633981166956,13.6076585416488,0.000225264669549402,0.0267909093763299
418,2.64307050887311,6.1400960014783,13.5801811402087,0.000228586176446486,0.0267909093763299
9984,2.88398834844217,8.61620187687957,13.5657660584062,0.000230348383763462,0.0267909093763299
11704,-2.98704553122284,5.82900908422155,13.5545925113798,0.000231723734771184,0.0267909093763299
15046,2.478241634921,7.12905260891907,13.54288464545,0.000233173734416124,0.0267909093763299
18973,-3.41599826084648,5.15274751460384,13.4687594892176,0.00024256863357767,0.0267909093763299
9921,-3.41599826084648,5.15274751460384,13.4687594892176,0.00024256863357767,0.0267909093763299
15218,3.78010316441646,5.21391621186378,13.4606462162531,0.000243619832819504,0.0267909093763299
25219,-4.26340783000262,5.66271296491316,13.4193373600973,0.000249043656901595,0.0269846127066317
15057,3.87616742412299,7.10101382003707,13.3901072192836,0.000252954929706908,0.027011187276529
34653,3.7335294113468,5.39531473596559,13.3601872071819,0.000257022648799684,0.0270534696622296
1303,3.21738395590814,5.92420206262776,13.1509111054561,0.000287379470436576,0.0295413340438233
2410,-1.68865630432612,9.40234779174165,13.142466875069,0.000288677531372866,0.0295413340438233
9936,-1.37877667396041,10.6515581375812,13.0867048139276,0.000297399046104828,0.029902393953892
8076,3.62928040061786,5.11078626903758,13.0476448366052,0.000303666026284512,0.029902393953892
9961,-3.36355591187584,6.44759561938705,13.0267785515554,0.000307068310580069,0.029902393953892
14797,2.62122764000802,7.05585787598636,13.0184350870845,0.000308439459893566,0.029902393953892
24982,-1.23685440087574,10.8045732200023,12.909710209486,0.000326881898169665,0.0311929289017538
12028,3.61615914203277,5.42407943871235,12.8907033934653,0.000330218302705863,0.0311929289017538
10168,3.71855382683165,5.27744849814024,12.8122249866151,0.000344361794777873,0.0317452404383529
6066,3.52232856218329,5.81946150483759,12.8104844553173,0.000344682306605352,0.0317452404383529
11890,-2.44723911881275,7.86695201217762,12.785704638833,0.000349278177677455,0.0317713779398455
12393,3.34188217943186,5.79265852037664,12.7415825798447,0.000357614967581537,0.0319984288402385
7102,3.13692928243368,6.34459518383317,12.704418301201,0.000364792644506084,0.0319984288402385
24983,-3.89190695780884,6.09392459252103,12.6909150822516,0.00036743641100816,0.0319984288402385
19109,-3.26620957145131,6.09057931327023,12.682236189278,0.000369145826739994,0.0319984288402385
4609,3.3157746706659,5.28337153904629,12.64356072909,0.000376861494045103,0.0322873893967944
12037,3.44626706393413,6.8513332810802,12.5265443630414,0.000401211141565763,0.0339784332305349
19052,-1.52646887722177,9.71332218023294,12.4607938630453,0.000415583280679487,0.0344748677735778
11994,3.62684884541628,5.42918552893388,12.4492882081262,0.000418151143023239,0.0344748677735778
8275,3.50298594267688,5.55940196450818,12.4361189432538,0.000421109948374322,0.0344748677735778
24734,-1.51118232703189,8.76050955187556,12.3949080270759,0.00043050619839996,0.0344832188663548
15587,-3.85442997267982,5.68913922342747,12.3946216746615,0.000430572222544061,0.0344832188663548
5372,-1.60767047414571,10.1421938036648,12.3411795428519,0.000443074974524253,0.0351029721752118
968,2.38962803763239,6.12803313210424,12.2846897250346,0.000456689319022985,0.0354904818296215
15414,-3.91339657310948,5.39792161944297,12.2809724745649,0.000457599860723947,0.0354904818296215
25035,3.66439358103271,5.28148705054312,12.243847023581,0.000466794883810978,0.0358265073324925
8143,3.43203623348559,5.17292520008979,12.207176141401,0.000476060386668909,0.035897439730599
8122,-2.51040743677891,6.5227393488256,12.2016868412812,0.000477463232030226,0.035897439730599
19105,-1.33929747942782,10.0815259316091,12.1142977020988,0.000500366795124112,0.0366639405930636
4606,3.69880829338712,6.96758947197001,12.0908735762562,0.000506692286085378,0.0366639405930636
1730,3.1493785712422,5.60291323098143,12.0820703405827,0.000509090340299641,0.0366639405930636
4251,3.6492939624969,5.09870223800508,12.0773739640408,0.000510374344028265,0.0366639405930636
15081,-2.05910509800577,8.43957634638857,12.0514722709862,0.000517514905222396,0.0366639405930636
24891,-2.05910509800577,8.43957634638857,12.0514722709862,0.000517514905222396,0.0366639405930636
8204,3.38822063902968,5.93500241414564,12.0093800022914,0.000529334635472257,0.0368616680784137
4169,2.49274843635395,6.73491324634113,12.0007532511759,0.000531790522309842,0.0368616680784137
11918,-2.24299642339752,9.23244798790607,11.953936151411,0.000545320551105741,0.0368616680784137
3276,-2.24299642339752,9.23244798790607,11.953936151411,0.000545320551105741,0.0368616680784137
8268,-2.24299642339752,9.23244798790607,11.953936151411,0.000545320551105741,0.0368616680784137
12165,-1.4631181157096,10.4975284652622,11.9342051278636,0.000551126371640504,0.0369154464204294
91,1.79388454849816,8.54798824961758,11.8492896498037,0.000576833451662344,0.0382892691157491
656,3.19758757513698,5.41396282994869,11.8248008938992,0.000584469640180842,0.0384497527576111
5223,-2.93357388615478,5.84794827758772,11.7739370228701,0.000600658028372235,0.0390783916874996
24933,2.12748135729171,7.64658358332292,11.7454033293858,0.000609936895231061,0.0390783916874996
4737,2.12748135729171,7.64658358332292,11.7454033293858,0.000609936895231061,0.0390783916874996
24766,2.83433670294493,5.50064146427048,11.6784828965382,0.000632270681668289,0.0399011387312303
10094,3.02411913840471,6.12472529460961,11.6745480991645,0.000633609287670188,0.0399011387312303
15596,-1.37904104287219,9.32229669186492,11.6437397161376,0.000644189632768353,0.04022363740879
776,2.43380577220476,5.805398539415,11.5642409560774,0.000672323304242808,0.041627547106395
35078,3.05988078757412,6.36041458406075,11.4669184370117,0.000708460579582323,0.04307982239869
15586,3.11807845053428,5.48149572594227,11.4593993899238,0.00071133286563562,0.04307982239869
19132,3.27036837930013,5.28897508491937,11.4453532444374,0.00071673006638944,0.04307982239869
10238,-1.27100114115066,10.7708873800962,11.4390476445856,0.000719166416264776,0.04307982239869
8218,2.97466604684461,6.31039944276049,11.3803625135729,0.00074224630053865,0.0441037963094256
10009,-1.46053826109104,9.47974405547867,11.3427304729055,0.000757438768162239,0.044646470750555
6796,2.44147456437872,6.30577033283789,11.3159733173986,0.000768431708117861,0.0448282876832516
11839,2.75640833371055,6.28932897637996,11.3057081818917,0.000772691712238457,0.0448282876832516
2431,2.10913401901296,7.37506723228506,11.2867246216144,0.000780632817670786,0.0449351765671746
2726,-2.55009568489423,7.21404758628911,11.2136209330653,0.000811991285024079,0.046066753733129
4802,3.3293048987031,5.14999919551272,11.2117836379869,0.000812795600611668,0.046066753733129
19025,2.88028131199829,5.85280337319389,11.1726678895519,0.000830111731461701,0.0465241702260484
4703,3.23764943978993,6.224723087783,11.1651219401654,0.000833494906329857,0.0465241702260484
