Group,PRJNA252803_logFC,PRJNA252803_logCPM,PRJNA252803_LR,PRJNA252803_PValue,PRJNA252803_gene_names
group_34903,0.859769940075798,5.38027483574687,4.18138398134771,0.0408703127301572,PCDH1
group_34931,-1.00942001354194,5.28815070367781,3.90108288663896,0.0482549948973175,GCSP
group_35154,1.82488407444777,5.01202963494961,14.8219566604647,0.000118151859280117,MYCB2
group_35199,1.13554491832657,4.93636389331628,4.4083379648948,0.0357636694858315,DOCK9
group_35225,0.561598453971584,7.12588527035529,5.20254192013389,0.0225538834760968,KCC2G
group_35293,1.49422414855315,5.23197989112757,5.57149062456343,0.0182552136501174,PCLO
group_4130,0.546212874977833,6.54548671642831,4.21100138410923,0.0401626208734107,DCNL4
group_4198,1.09629204746356,4.4347730216912,3.99131753318593,0.0457352884847505,QSOX2
group_4566,0.945010669258414,4.98034665882288,3.92512640078187,0.0475696142054218,NUDC1
group_4606,-0.876381552977613,4.87914777908411,3.84158390621749,0.0499962701641026,ST2B1
group_4717,0.692526592102643,6.31018800344865,5.06540417502184,0.0244080131285841,CRIM1
group_4799,2.01257469815535,5.5952142720387,5.01734781717585,0.0250945775774459,ENV
group_5193,0.678117474568816,6.26813785241917,4.02216222910587,0.0449061067424002,CRCDL
group_5200,0.984238192536159,5.19987147664805,6.54847052783212,0.0104974359267043,UNC80
group_5278,1.2085111598116,4.897998029759,4.98486476713557,0.0255699835639968,RPC6
group_5326,-0.438733315306417,7.52563783389589,3.9382236160885,0.0472005948313989,SLIRP
group_547,1.42046090216911,4.84168605705593,9.00868634443531,0.00268699478770284,ANR27
group_587,0.635119746260607,5.94053515641901,4.60787669326259,0.0318254158418463,NFIB|NFIX
group_5953,-1.28050218834812,8.24424152767027,11.1814825948926,0.000826177289440377,HBA
group_6170,-1.18753875199646,5.26140780398836,9.11685866131045,0.00253264495503178,MCCB
group_6794,0.975610428535116,5.12207495508278,5.99848572382193,0.0143181626647106,BIVM
group_6903,1.00507362611849,5.67061370879174,7.93651757238769,0.00484469794078349,FCRL2
group_6920,-1.05352483317648,5.04025687480153,6.190064925289,0.0128469473335753,ZBT25
group_6970,-0.469106530373054,7.1850408729839,4.31213135558544,0.0378415223996097,GPC5B
group_6975,-0.95013344499641,4.93788443837509,3.98330871020251,0.0459532124722249,OAF
group_7175,1.10142820918677,5.05541113109785,4.36395658439051,0.0367069564922858,PRC2B
group_743,0.752493003930763,5.51345490426189,4.99975399894188,0.0253509216245676,NT5D3|NT5D2
group_8131,-0.476475386062351,7.98762362298997,4.22332050427131,0.0398720608019814,MLC1
group_8133,-0.807169416602915,5.21895912284459,4.31157210034929,0.037853964150792,TACAN
group_8146,1.53117876472734,4.33819629104646,7.08478449792614,0.0077741167615432,RASF5
group_8230,0.923049207551701,5.82193956041809,6.59329124389227,0.0102363755924355,ASTRB|ASTRA
group_8242,0.4865526008406,7.74030545854117,4.11540623725182,0.0424943183906847,TAU
group_8257,1.03950257485833,4.86938543106381,4.8026143438563,0.0284165847631193,TMTC1
group_8328,-0.668905200359433,7.91476971849428,5.7203504211739,0.0167693832867443,CD63
group_8464,-0.596591524132175,8.62358448304354,4.92014266646023,0.026545324985334,PAFA
group_8482,0.766827581204763,5.55617357966366,4.13747260490109,0.0419437492038997,KLH24
group_8491,-0.819503051483276,8.42510121772616,4.64979103399127,0.0310573279823272,APOD
group_851,0.898421864712206,5.08101348850039,4.2780264132744,0.0386081524720712,F16B1|F16B2
group_873,1.30432194846823,4.66512515178797,6.78930784550058,0.00917054580649928,NTNG1|NTNG2
group_9817,0.524010537466811,6.73008851518449,4.09696669599991,0.042960222288118,THIC|TCPA
group_9859,-0.51874889113277,9.68582880952008,5.50346982076104,0.0189787789281458,RL12
group_9902,0.562119595273684,5.99299218492703,3.87040289242749,0.0491447228951108,ZN251
