"PRJNA252803__1","PRJNA252803__2","PRJNA529794__1","PRJNA529794__2","PRJNA252803_log2fc","PRJNA529794_log2fc","group_num"
26.88625,26.52075,1.41521428571429,1.0790625,-0.02,-0.39,"group_10167"
12.465,11.6095,0.0217142857142857,1.12770833333333,-0.1,5.7,"group_10168"
16.263,19.46675,1.46471428571429,3.24408333333333,0.26,1.15,"group_10169"
13.8360833333333,16.74125,1.25878571428571,2.07008333333333,0.27,0.72,"group_1017"
15.692,11.88475,1.95942857142857,5.47804166666667,-0.4,1.48,"group_10170"
111.98825,116.581,16.1210714285714,29.0020416666667,0.06,0.85,"group_10171"
111.98825,116.581,16.1210714285714,29.0020416666667,0.06,0.85,"group_10172"
19.71275,15.5585,1.97264285714286,4.73566666666667,-0.34,1.26,"group_10173"
148.63725,130.04725,91.282,113.895958333333,-0.19,0.32,"group_10174"
102.526,119.5935,5.355,6.54929166666667,0.22,0.29,"group_10176"
10.097,9.315,2.48321428571429,2.54945833333333,-0.12,0.04,"group_10177"
22.663,18.29675,0.228571428571429,3.31895833333333,-0.31,3.86,"group_10179"
12.343125,11.43475,1.26809523809524,3.706625,-0.11,1.55,"group_1018"
83.0645,88.13525,5.77828571428571,9.94233333333333,0.09,0.78,"group_10180"
106.90775,101.009,12.6190714285714,19.4433333333333,-0.08,0.62,"group_10181"
21.3085,21.67825,2.14992857142857,7.827125,0.02,1.86,"group_10182"
17.84275,14.6075,0.822142857142857,0.912541666666667,-0.29,0.15,"group_10183"
26.69475,27.1275,5.90707142857143,17.3367916666667,0.02,1.55,"group_10185"
9.60725,11.39725,4.4665,7.98466666666667,0.25,0.84,"group_10186"
17.27875,15.85875,0.0918571428571429,1.18445833333333,-0.12,3.69,"group_10188"
11.640625,12.563625,3.46185714285714,3.70608333333333,0.11,0.1,"group_10189"
21.4135,25.504125,2.12975,4.48608333333333,0.25,1.07,"group_1019"
8.14425,11.77375,1.68842857142857,1.28179166666667,0.53,-0.4,"group_10190"
62.71275,63.124,6.56064285714286,15.4689166666667,0.01,1.24,"group_10191"
43.99825,33.872,0.273738095238095,1.07909722222222,-0.38,1.98,"group_10192"
29.22725,28.478,7.3965,15.9422083333333,-0.04,1.11,"group_10193"
20.17475,23.28425,5.25178571428571,5.769,0.21,0.14,"group_10194"
13.268,12.7275,0,0.437375,-0.06,Inf,"group_10195"
17.820875,16.404,0.124785714285714,0.40675,-0.12,1.7,"group_10196"
216.5765,214.65475,38.3382857142857,39.1801666666667,-0.01,0.03,"group_10197"
15.50075,15.2425,2.31892857142857,5.4775,-0.02,1.24,"group_10199"
12.8299166666667,14.5173333333333,0.448010204081633,0.903583333333333,0.18,1.01,"group_102"
13.3415,11.16825,1.84842857142857,3.31175,-0.26,0.84,"group_1020"
131.941,115.37875,4.01278571428571,8.31370833333333,-0.19,1.05,"group_10200"
65.24625,58.5535,18.6505,11.5991666666667,-0.16,-0.69,"group_10201"
