,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zfp69,13.8750317116245,6.84045350736651,1.8094916178936,3.78031787476825,0.000156628258078936,0.000156628258078936
Ndufa2,1092.91548442755,-1.13577772192959,0.300485367833489,-3.77981041179671,0.000156947818175256,0.000156947818175256
Gm33353,43.9051918402357,4.47191710128014,1.18429116328193,3.7760284294341,0.000159348811576461,0.000159348811576461
A430010J10Rik,7.35378275903714,-2.31016402317178,0.612273042212468,-3.77309445933456,0.000161235207552639,0.000161235207552639
Brwd1,790.475415830918,1.75810434507569,0.466351384998753,3.76991342071472,0.000163304188666707,0.000163304188666707
Gm46202,90.8578845232958,4.83605093622335,1.28525745587461,3.76270988673819,0.000168082142722456,0.000168082142722456
Etohd2,12.9757003395505,6.74873438309234,1.79796587910757,3.75353863024482,0.000174355647957571,0.000174355647957571
Nfil3,150.487635936181,3.31635543444887,0.884140467816128,3.75093727203827,0.000176174774545125,0.000176174774545125
Cdhr3,10.0298400255815,6.16100836478104,1.64320959050312,3.74937463874869,0.000177276087226354,0.000177276087226354
1700008O03Rik,12.7659312672679,6.00192533688085,1.60144081321909,3.74782838512542,0.000178372225745831,0.000178372225745831
Ndfip1,2046.91358159325,-0.812369325274734,0.216835593194887,-3.74647590510934,0.000179336220213858,0.000179336220213858
LOC118568052,14.1559209497504,5.22695794055153,1.39549709519504,3.74558854944874,0.000179971351356994,0.000179971351356994
Gm32014,8.77142432191799,5.96830324307316,1.59446941682838,3.74312807764286,0.000181743531916892,0.000181743531916892
Ovgp1,14.5142553649692,5.31438007741825,1.4204536057199,3.74132604966344,0.000183051855583337,0.000183051855583337
Zfp866,52.347377088522,3.56127157332658,0.952163508327756,3.74018909796395,0.000183881864982764,0.000183881864982764
Mtmr11,10.3189641444011,6.42063634503155,1.7169724618801,3.73951038096493,0.000184379034171694,0.000184379034171694
Ints3,136.399471818078,2.30678999429004,0.61714798291319,3.73782311237744,0.000185620461694373,0.000185620461694373
Gm32261,10.1735972338546,5.52537956641248,1.47869934234752,3.73664842349941,0.000186489387450966,0.000186489387450966
Rps10,175.121073974955,-1.31100240834706,0.350857299882154,-3.73656870980709,0.000186548490558782,0.000186548490558782
Pwp2,119.219008717837,4.12420792152759,1.10418091186653,3.73508351503374,0.000187652902120925,0.000187652902120925
Anxa2,13.9559581662892,-8.05931247609514,2.15871772202157,-3.73337949370604,0.000188927606093044,0.000188927606093044
Slc8a1,213.057899319894,-1.93696682615168,0.518857401870346,-3.73313904585233,0.000189108128482492,0.000189108128482492
Cep76,31.1252605820532,4.42282201472681,1.18506712198956,3.73212785390715,0.000189869082779448,0.000189869082779448
