Row.names,PRJNA252803_log2FoldChange,PRJNA252803_pvalue,PRJNA252803_padj,PRJNA529794_log2FoldChange,PRJNA529794_pvalue,PRJNA529794_padj,Gene Name
Lpar1,-1.08150981491419,0.0225638204812018,0.0225638204812018,-5.31523106909104,1.21879022911482e-07,1.21879022911482e-07,LPAR1
Lrriq1,1.73443821441663,0.00117678953117242,0.00117678953117242,4.27669400491526,0.00146307218349772,0.00146307218349772,LRRIQ1
Mcmdc2,4.91467028989447,0.0352362256494867,0.0352362256494867,3.25983404276723,0.02034216556539,0.02034216556539,MCMDC2
Mrpl42,-0.453913747716725,0.0443190592074118,0.0443190592074118,-1.00612575032832,0.0472664269057816,0.0472664269057816,MRPL42
Nde1,-0.760876821975325,0.0391308107628906,0.0391308107628906,-5.70299339965307,0.00652267550388234,0.00652267550388234,NDE1
Nphp3,-1.683665163629,0.00415344073352005,0.00415344073352005,2.97387907875442,0.0450314332161687,0.0450314332161687,NPHP3
Nr4a2,0.536742807711875,0.0326155884048494,0.0326155884048494,1.5823563480325,0.0485753751532926,0.0485753751532926,NR4A2
Nrg2,1.03510434286613,0.0330612394049746,0.0330612394049746,2.28046173663044,0.0205223499115477,0.0205223499115477,NRG2
Nuf2,-1.93709445917662,0.0203879552171029,0.0203879552171029,5.67629868274879,0.0102306193238218,0.0102306193238218,NUF2
Oip5,2.82672855641696,0.0463292024207044,0.0463292024207044,5.64664805501711,0.00849045654154636,0.00849045654154636,OIP5
Pcp4l1,-0.504041920937783,0.0123121769246427,0.0123121769246427,-2.24234688350973,0.00852430476843031,0.00852430476843031,PCP4L1
Pde7b,-0.901988255225128,0.00353363000126609,0.00353363000126609,-1.54970548682866,0.0146937776896001,0.0146937776896001,PDE7B
Pisd-ps3,-1.29912925532356,0.00150581716459114,0.00150581716459114,2.02819624901927,0.00137150707721286,0.00137150707721286,PISD-PS3
Pms2,0.750153324803562,0.00664965657634303,0.00664965657634303,4.04963752440414,1.22022211303531e-06,1.22022211303531e-06,PMS2
Prelp,-0.850439048038445,0.00801122023913966,0.00801122023913966,-2.55065119515307,0.0426140192066967,0.0426140192066967,PRELP
Pros1,-0.943039669967947,0.00984884249102078,0.00984884249102078,5.3490533894147,0.00540223942758734,0.00540223942758734,PROS1
Prox2,2.8414899050599,0.0298494418713817,0.0298494418713817,3.85555424227741,0.00344028387559773,0.00344028387559773,PROX2
Rad54l,2.5629825203989,0.0406244403895825,0.0406244403895825,6.29736130673504,0.000794843369358749,0.000794843369358749,RAD54L
S100b,-0.5728001384885,0.0473238888154913,0.0473238888154913,-2.40645172273484,8.7551188059476e-05,8.7551188059476e-05,S100B
Serpinb1a,-1.50630004082332,0.0154327341115157,0.0154327341115157,-5.81318723897614,0.0158277309914941,0.0158277309914941,SERPINB1A
Six3,-2.4962500536959,0.0206173144451466,0.0206173144451466,-5.19956476125066,2.54178629935878e-08,2.54178629935878e-08,SIX3
Stk38,-0.544533937699193,0.0420849838290577,0.0420849838290577,2.03368491890391,0.0279717296468855,0.0279717296468855,STK38
Tecpr2,0.425699944513775,0.0339421235224269,0.0339421235224269,-1.5200209357753,0.0302329541874242,0.0302329541874242,TECPR2
Tmem100,-0.953959562100227,0.000287489474164807,0.000287489474164807,-3.75256519609221,0.0465729947605131,0.0465729947605131,TMEM100
Tmem163,0.712204957184776,0.0260383283322468,0.0260383283322468,-6.79359622980113,0.000765083088559876,0.000765083088559876,TMEM163
Tnik,0.416124501216624,0.0283685590761059,0.0283685590761059,2.17911951082325,6.41844073522663e-05,6.41844073522663e-05,TNIK
Vim,-0.802962985401372,0.0286559147264122,0.0286559147264122,-2.93536262882685,0.043291026650651,0.043291026650651,VIM
Zc3h18,0.64748165433582,0.0310551704812179,0.0310551704812179,1.60982447477304,0.0336586536413758,0.0336586536413758,ZC3H18
