,logFC,logCPM,LR,PValue
Tdrd6,-2.56056420978099,0.771371916859565,5.58812118418509,0.0180826816144925
Nthl1,-2.55133291502878,-0.507547601458604,5.13557410107482,0.0234403334852961
Mdh1b,-2.52893645252211,0.167309999888951,5.32336509122535,0.0210413395910418
Gm13293,-2.52647759714221,0.177611659486612,4.83094278192083,0.0279533407803581
Coch,-2.52202751579821,5.26406554537934,5.80078347194644,0.0160190350808994
Zfp607a,-2.47274662659729,-0.611994850537589,4.40692211823147,0.0357933669271037
Six3,-2.46416125169935,0.094161616750297,7.73987880803923,0.00540144259130795
A330035P11Rik,-2.457200106307,-0.250354072191688,4.42522786787791,0.0354113845741515
Irf7,-2.43716706837148,-0.59888843585701,4.07434407876116,0.043539167034161
Gm40578,-2.42562949328091,2.5854033723124,23.3088445002302,1.37964127497937e-06
Itgb4,-2.39941364763141,0.681479241937526,7.18744681412657,0.00734153698830821
2900076A07Rik,-2.38500270066701,0.327360814009251,5.15715123131799,0.0231508403536601
Gm3279,-2.3686756840613,0.620418210798344,7.10662074213334,0.00767997529651202
Fam180a,-2.35782360704629,0.709785250853614,6.30777663283,0.0120209495747663
Gm33852,-2.35474922227827,0.168355066196792,6.38448919577852,0.0115121886844276
Elf4,-2.35223302783709,0.991155848423697,10.6889849371319,0.0010777532555258
Depdc7,-2.35006390512454,0.747449673900098,9.45948466163503,0.00210060079415634
Il15,-2.34966927422708,-0.189262379146897,4.99041085630152,0.0254881563280965
Gm30732,-2.34349420485517,-0.13505946669861,4.6795549287048,0.0305236557152886
Gm38882,-2.32624415494045,-0.165157849764922,4.62537891942673,0.031502302332383
Runx1,-2.32299618884129,0.27052560922296,4.36334051804704,0.0367202322227371
Gm46637,-2.28688876563072,0.251706145765041,4.89331806799285,0.02696082326047
Gm16892,-2.27957243365791,-0.212701042152733,4.08810246052715,0.0431860998919819
Trim34a,-2.27507446746284,-0.104849171643145,4.39566275762462,0.0360304530283931
Rilp,-2.25839037272521,0.0888032067067312,5.97874689584464,0.0144792862709254
Gm13861,-2.2529272292683,-0.263641396790182,3.88558310443273,0.0487023477679791
Oscar,-2.25074444076709,-0.262858892974154,3.88972740275826,0.0485823083933474
Mc5r,-2.22655273171778,0.153525737310458,4.38752605661602,0.0362028085438019
Smco3,-2.22464221002462,1.29604083207713,8.25695080783075,0.00405962581842556
Gm15477,-2.19972130953236,0.664226198171183,4.99258083070822,0.0254562144974783
Aox3,-2.19773319736479,1.52873421278753,11.8634431789952,0.000572466053083912
Unc45b,-2.16771235930803,0.110454835295166,5.50717544845565,0.0189386077164436
Ankrd7,-2.15822572165804,-0.0363376497453609,5.20265346351638,0.0225524363245288
6330418K02Rik,-2.10466297300011,0.418925712120893,5.20385695459301,0.0225368284820369
Ctxn3,-2.10240829988488,1.54546244055114,8.68097975178532,0.00321548080796457
Il17rc,-2.09846312768678,-0.21188154333429,4.38789703377686,0.0361949315818169
Lrig3,-2.07468534799171,0.797765736557268,5.58997115705639,0.0180635936049267
Itprip,-2.06394914297513,0.258579072829757,4.13321425955176,0.0420494107286372
Nphp3,-2.05936694744707,2.3085354900737,13.4184858817323,0.000249156726384462
Ftl1,-2.05798100121854,2.6316249425414,11.4112754652422,0.000729996971540433
Spi1,-2.02424459734333,0.278013955132805,4.03822024874613,0.0444807079270614
Gm51909,-1.99879062945486,0.738454975696908,4.48696966948762,0.0341541682907419
Arhgap36,-1.99715724322506,0.863014714368367,5.7532701901418,0.0164579922348471
Cd209a,-1.98800251401762,0.951616653072626,4.22874731556243,0.0397447641703771
Ace2,-1.95253752466786,1.57321851360236,10.1244539887933,0.0014631499612584
Arntl2,-1.93222482985625,0.22902398286724,4.27155233242353,0.0387555100299726
Shcbp1,-1.92128392139342,0.683865149620067,6.14245511958718,0.0131973953418872
Ggt5,-1.92014036641254,0.46642537294691,4.82748576898664,0.0280094484666233
BC028528,-1.91935734677384,0.563205788925103,5.14483473513439,0.0233156296044118
A830029E22Rik,-1.91026847087387,1.21850270632195,9.25640724575291,0.00234672940174173
Gm30502,-1.90307666062565,0.11470334981325,3.87892463671332,0.0488958660615365
2810407A14Rik,-1.89391670677927,1.4450380615646,6.74233442231308,0.00941513440867234
Abcg3,-1.8908037525793,0.324491764798433,3.88812040702894,0.0486288178204059
Iqub,-1.87330858183882,0.510131972245505,3.84624998188109,0.0498573455957795
AU020206,-1.87011320543154,0.773244934306045,7.23290778488387,0.00715791775315009
Hba-a1,-1.8677574261608,0.95326247975858,7.4539448590205,0.00632975719556091
Gm46594,-1.8561767970402,0.774211833534599,5.94349065174105,0.0147717349826318
Ccdc122,-1.85031247382043,0.684668048382596,4.79490145178472,0.0285440894881231
Gm6195,-1.84624901930191,0.224030766958576,4.22030222447033,0.0399430456290953
LOC118568202,-1.82877669431951,0.630105916619972,6.51751783122801,0.0106816983275439
Ceacam1,-1.82498960781137,0.998117999636115,5.87600969130815,0.0153485680609034
2700046G09Rik,-1.82494134302457,1.03760030183881,5.64665219813894,0.0174887295157485
Rreb1,-1.80771551822054,2.17397314262129,11.0545427250715,0.000884701630772212
Gm41077,-1.80296546375508,0.129459567775285,4.27544771727575,0.0386667760515001
Gbp2,-1.79813065494572,2.2959637774667,9.22263229195772,0.00239041621472017
Klhl6,-1.78780981026043,0.886914169234879,6.11819377785273,0.0133797445387267
Bco2,-1.76164083778041,2.03971976703489,4.39822615888524,0.0359763318978985
Nts,-1.74662308754294,1.53016414799988,4.6227011349821,0.0315515150564171
Cd160,-1.72974142398095,0.358604436528525,5.05868551451796,0.02450281589389
Cd6,-1.70575686377519,0.361166738882758,4.69239390535446,0.0302964102276742
Trim68,-1.69932449975608,1.20699533482253,4.54996010553422,0.0329195134215932
4930523C07Rik,-1.68811815274058,1.48354855208945,8.08132489034571,0.00447237362593117
Zfp825,-1.66897207534212,1.62654194347536,8.94405985181375,0.00278373329021426
Ppic,-1.64834951825441,1.20076400241222,6.64040609386419,0.00996912073302956
